segment_idx,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_original_bits,i3_photoresistor_psd_peak_psk_recovered,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_original_bits,i3_photoresistor_psd_mean_energy_psk_recovered,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_original_bits,i3_photoresistor_psd_peak_freq_psk_recovered,i3_photoresistor_rms_baseband,i3_photoresistor_rms_original_bits,i3_photoresistor_rms_psk_recovered,i3_photoresistor_mean_baseband,i3_photoresistor_mean_original_bits,i3_photoresistor_mean_psk_recovered,i3_photoresistor_variance_baseband,i3_photoresistor_variance_original_bits,i3_photoresistor_variance_psk_recovered,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_original_bits,i3_photoresistor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
20,0.017568,0,0,0.014803,0,0,0.0,0,0,0.116319,0,0,0.11816,0,0,0.03699,0,0,0.11816,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
21,0.003832,0,0,0.004524,0,0,0.0,0,0,0.13579,0,0,0.138547,0,0,0.008982,0,0,0.138547,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
22,0.000914,0,0,0.000763,0,0,0.0,0,0,0.145055,0,0,0.147944,0,0,0.003528,0,0,0.147944,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
23,0.002063,0,0,0.003708,0,0,0.333333,0,0,0.148312,0,0,0.151256,0,0,0.001138,0,0,0.151256,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
24,0.000122,0,0,0.000109,0,0,0.0,0,0,0.14667,0,0,0.149649,0,0,8e-06,0,0,0.149649,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
25,0.000106,0,0,0.000124,0,0,0.0,0,0,0.144967,0,0,0.147947,0,0,0.000199,0,0,0.147947,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
26,0.000313,0,0,0.000564,0,0,0.0,0,0,0.144396,0,0,0.147105,0,0,0.010124,0,0,0.147105,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
27,0.025802,0,0,0.046212,0,0,0.333333,0,0,0.146657,0,0,0.149272,0,0,0.013471,0,0,0.149272,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
28,0.002384,0,0,0.003742,0,0,0.0,0,0,0.15554,0,0,0.158011,0,0,0.018666,0,0,0.158011,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
29,0.0195,0,0,0.017314,0,0,0.0,0,0,0.175531,0,0,0.177722,0,0,0.030128,0,0,0.177722,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
30,0.022339,0,0,0.020334,0,0,0.0,0,0,0.206815,0,0,0.208737,0,0,0.043375,0,0,0.208737,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
31,0.002035,0,0,0.002103,0,0,0.0,0,0,0.233106,0,0,0.235543,0,0,0.014047,0,0,0.235543,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
32,0.010275,0,0,0.010904,0,0,0.0,0,0,0.253666,0,0,0.255933,0,0,0.021343,0,0,0.255933,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
33,0.000341,0,0,0.000372,0,0,0.666667,1,1,0.266351,0,0,0.268914,0,0,0.000287,0,0,0.268914,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
34,0.000483,0,0,0.000321,0,0,0.0,0,0,0.270347,0,0,0.272884,0,0,0.001072,0,0,0.272884,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
35,0.000136,0,0,0.000152,0,0,0.0,0,0,0.270256,0,0,0.272752,0,0,0.003782,0,0,0.272752,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
36,0.016536,0,0,0.015487,0,0,0.0,0,0,0.252159,0,0,0.254284,0,0,0.030335,0,0,0.254284,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
37,0.001377,0,0,0.001626,0,0,0.0,0,0,0.243776,0,0,0.246168,0,0,0.015151,0,0,0.246168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
38,0.012211,0,0,0.009814,0,0,0.0,0,0,0.259283,0,0,0.261607,0,0,0.01696,0,0,0.261607,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
39,0.007455,0,0,0.006024,0,0,0.0,0,0,0.255979,0,0,0.258176,0,0,0.025444,0,0,0.258176,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
40,0.012037,0,0,0.010559,0,0,0.0,0,0,0.230874,0,0,0.232882,0,0,0.038629,0,0,0.232882,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
41,0.014578,0,0,0.014704,0,0,0.0,0,0,0.204508,0,0,0.206784,0,0,0.025501,0,0,0.206784,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
42,2.2e-05,0,0,6.4e-05,0,0,0.0,0,0,0.189685,0,0,0.192507,0,0,0.000462,0,0,0.192507,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
43,0.000435,0,0,0.000429,0,0,0.0,0,0,0.185111,0,0,0.187934,0,0,0.001124,0,0,0.187934,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
44,0.00016,0,0,0.000268,0,0,0.0,0,0,0.17582,0,0,0.178318,0,0,0.016719,0,0,0.178318,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
45,0.024019,0,0,0.020589,0,0,0.0,0,0,0.148987,0,0,0.149794,0,0,0.080758,0,0,0.149794,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
46,0.027695,0,0,0.024008,0,0,0.0,0,0,0.109432,0,0,0.110334,0,0,0.061846,0,0,0.110334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
47,0.010643,0,0,0.008281,0,0,0.0,0,0,0.078321,0,0,0.080175,0,0,0.028339,0,0,0.080175,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
48,0.001053,0,0,0.001282,0,0,0.0,0,0,0.072616,0,0,0.074899,0,0,0.018575,0,0,0.074899,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
49,0.025576,0,0,0.021524,0,0,0.0,0,0,0.101183,0,0,0.101583,0,0,0.071279,0,0,0.101583,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
50,0.030923,0,0,0.025042,0,0,0.0,0,0,0.143619,0,0,0.144223,0,0,0.08598,0,0,0.144223,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
51,0.011778,0,0,0.009783,0,0,0.0,0,0,0.173775,0,0,0.176215,0,0,0.019331,0,0,0.176215,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
52,0.000624,0,0,0.00047,0,0,0.0,0,0,0.185772,0,0,0.18858,0,0,0.001716,0,0,0.18858,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
53,0.026594,0,0,0.02571,0,0,0.0,0,0,0.205782,0,0,0.207829,0,0,0.036999,0,0,0.207829,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
54,0.008797,0,0,0.008334,0,0,0.0,0,0,0.2387,0,0,0.240488,0,0,0.051123,0,0,0.240488,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
55,0.016327,0,0,0.013402,0,0,0.0,0,0,0.273536,0,0,0.275203,0,0,0.058272,0,0,0.275203,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
56,0.007808,0,0,0.014886,0,0,0.0,0,0,0.306875,0,0,0.308764,0,0,0.040137,0,0,0.308764,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
57,0.026645,0,0,0.024275,0,0,0.0,0,0,0.339852,0,0,0.341697,0,0,0.038479,0,0,0.341697,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
58,0.000381,0,0,0.000635,0,0,0.0,0,0,0.360354,0,0,0.362552,0,0,0.003772,0,0,0.362552,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
59,0.000119,0,0,0.000104,0,0,0.0,0,0,0.36691,0,0,0.369114,0,0,0.00135,0,0,0.369114,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
60,0.025006,0,0,0.021336,0,0,0.0,0,0,0.388113,0,0,0.389728,0,0,0.049659,0,0,0.389728,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
61,0.04895,0,0,0.043033,0,0,0.0,0,0,0.438056,0,0,0.438635,0,0,0.146494,0,0,0.438635,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
62,0.033662,0,0,0.028713,0,0,0.0,0,0,0.495319,0,0,0.496224,0,0,0.103199,0,0,0.496224,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
63,0.006115,0,0,0.008724,0,0,0.666667,1,1,0.526365,1,1,0.527947,1,1,0.010712,0,0,0.527947,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
64,0.006542,0,0,0.011652,0,0,0.0,0,0,0.524406,1,1,0.525986,1,1,0.011764,0,0,0.525986,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
65,0.000795,0,0,0.000857,0,0,0.0,0,0,0.509474,1,1,0.511083,1,1,0.014234,0,0,0.511083,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
66,0.018653,0,0,0.017367,0,0,0.0,0,0,0.4923,0,0,0.493917,0,0,0.019875,0,0,0.493917,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
67,0.00486,0,0,0.009423,0,0,0.0,0,0,0.484069,0,0,0.485823,0,0,0.006944,0,0,0.485823,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
68,0.017847,0,0,0.028768,0,0,0.0,0,0,0.47988,0,0,0.481565,0,0,0.016466,0,0,0.481565,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
69,0.006801,0,0,0.006435,0,0,0.0,0,0,0.466876,0,0,0.46862,0,0,0.014453,0,0,0.46862,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
70,0.000216,0,0,0.000294,0,0,0.0,0,0,0.454772,0,0,0.45661,0,0,0.008441,0,0,0.45661,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
71,0.010119,0,0,0.013123,0,0,0.0,0,0,0.439085,0,0,0.440832,0,0,0.023499,0,0,0.440832,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
72,0.002029,0,0,0.002672,0,0,0.0,0,0,0.422514,0,0,0.424465,0,0,0.007706,0,0,0.424465,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
73,0.000837,0,0,0.000866,0,0,0.0,0,0,0.414288,0,0,0.416332,0,0,0.001119,0,0,0.416332,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
74,0.000706,0,0,0.000709,0,0,0.0,0,0,0.405654,0,0,0.40762,0,0,0.011663,0,0,0.40762,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
75,0.017073,0,0,0.015829,0,0,0.0,0,0,0.385767,0,0,0.387593,0,0,0.03051,0,0,0.387593,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
76,0.001296,0,0,0.001275,0,0,0.0,0,0,0.379242,0,0,0.381219,0,0,0.018276,0,0,0.381219,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
77,0.017421,0,0,0.013094,0,0,0.0,0,0,0.403622,0,0,0.405221,0,0,0.047913,0,0,0.405221,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
78,0.026306,0,0,0.024206,0,0,0.0,0,0,0.446375,0,0,0.447419,0,0,0.096323,0,0,0.447419,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
79,0.030579,0,0,0.026617,0,0,0.0,0,0,0.503341,1,1,0.503853,1,1,0.148685,0,0,0.503853,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
80,0.055133,0,0,0.044499,0,0,0.0,0,0,0.569385,1,1,0.569428,1,1,0.200363,0,0,0.569428,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
81,0.079527,0,0,0.067204,0,0,0.0,0,0,0.641762,1,1,0.641509,1,1,0.23217,0,0,0.641509,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
82,0.051937,0,0,0.044637,0,0,0.0,0,0,0.720299,1,1,0.719721,1,1,0.269296,0,0,0.719721,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
83,0.055479,0,0,0.047096,0,0,0.0,0,0,0.797334,1,1,0.796897,1,1,0.220509,0,0,0.796897,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
84,0.061687,0,0,0.055759,0,0,0.0,0,0,0.856854,1,1,0.85672,1,1,0.133354,0,0,0.85672,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
85,0.056492,0,0,0.051,0,0,0.0,0,0,0.911461,1,1,0.911031,1,1,0.164695,0,0,0.911031,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
86,0.039344,0,0,0.038548,0,0,0.0,0,0,0.968474,1,1,0.968132,1,1,0.109521,0,0,0.968132,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
87,0.003115,0,0,0.002609,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.006207,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
88,0.003073,0,0,0.002998,0,0,0.0,0,0,0.988812,1,1,0.988487,1,1,0.091292,0,0,0.988487,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
89,0.146947,0,0,0.119567,0,0,0.0,0,0,0.927761,1,1,0.926565,1,1,0.32348,0,0,0.926565,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
90,0.022882,0,0,0.02595,0,0,0.0,0,0,0.863395,1,1,0.86342,1,1,0.09717,0,0,0.86342,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
91,0.057982,0,0,0.052198,0,0,0.0,0,0,0.824141,1,1,0.824342,1,1,0.084971,0,0,0.824342,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
92,0.044739,0,0,0.034319,0,0,0.0,0,0,0.777542,1,1,0.777856,1,1,0.089167,0,0,0.777856,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
93,0.029378,0,0,0.027899,0,0,0.0,0,0,0.72608,1,1,0.7263,1,1,0.130311,0,0,0.7263,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
94,0.076536,0,0,0.066939,0,0,0.0,0,0,0.669891,1,1,0.670047,1,1,0.161589,0,0,0.670047,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
95,0.007824,0,0,0.009333,0,0,0.0,0,0,0.630872,1,1,0.632022,1,1,0.023434,0,0,0.632022,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
96,0.000679,0,0,0.000723,0,0,0.0,0,0,0.622828,1,1,0.62416,1,1,0.000198,0,0,0.62416,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
97,0.000388,0,0,0.000295,0,0,0.0,0,0,0.622224,1,1,0.623557,1,1,0.000356,0,0,0.623557,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
98,0.011732,0,0,0.010239,0,0,0.0,0,0,0.634417,1,1,0.635552,1,1,0.023792,0,0,0.635552,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
99,0.020695,0,0,0.031842,0,0,0.0,0,0,0.642363,1,1,0.643524,1,1,0.015956,0,0,0.643524,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
100,0.022569,0,0,0.023874,0,0,0.0,0,0,0.657897,1,1,0.65832,1,1,0.123482,0,0,0.65832,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
